Packsize Number,"ID",Name,length,width,height,Volume,Cost,Max Weight
310,20.0008.0005.00,200008000500(G),20.00,8.00,5.00,4.1667,$8.00,30.00
311,20.0015.5011.50,200015501150(F),20.00,15.50,11.50,9.9757,$35.03,30.00
312,20.0016.0013.50,200016001350(F),20.00,16.00,13.50,11.1944,$42.39,30.00
313,20.0008.0004.50,200008000450(G),20.00,8.00,4.50,3.9722,$7.21,30.00
314,20.0013.0004.50,200013000450(K),20.00,13.00,4.50,5.6736,$11.66,30.00
315,20.0013.5004.00,200013500400(K),20.00,13.50,4.00,5.6111,$10.79,30.00
316,20.0011.0005.50,200011000550(G),20.00,11.00,5.50,5.4236,$12.03,30.00
317,20.0014.0011.50,200014001150(F),20.00,14.00,11.50,9.3194,$31.66,30.00
318,20.0016.0008.00,200016000800(F),20.00,16.00,8.00,8.4444,$25.24,30.00
319,20.0016.0011.00,200016001100(F),20.00,16.00,11.00,9.9444,$34.59,30.00
320,20.0011.5009.50,200011500950(J),20.00,11.50,9.50,7.3507,$21.56,30.00
321,20.0012.0009.50,200012000950(J),20.00,12.00,9.50,7.5556,$22.49,30.00
323,20.0014.5010.50,200014501050(F),20.00,14.50,10.50,9.0590,$29.96,30.00
324,20.0014.5006.00,200014500600(F),20.00,14.50,6.00,6.9028,$17.24,30.00
325,21.0011.0005.50,210011000550(G),21.00,11.00,5.50,5.6528,$12.63,30.00
326,21.0013.0008.00,210013000800(L),21.00,13.00,8.00,7.5694,$21.56,30.00
327,21.0008.5005.50,210008500550(G),21.00,8.50,5.50,4.7326,$9.79,30.00
328,21.0011.5008.00,210011500800(H),21.00,11.50,8.00,6.9653,$19.09,30.00
329,21.0013.5009.50,210013500950(R),21.00,13.50,9.50,8.4896,$26.53,30.00
330,21.0010.0004.00,210010000400(G),21.00,10.00,4.00,4.6389,$8.41,30.00
331,21.0016.0013.50,210016001350(S),21.00,16.00,13.50,11.6042,$44.49,30.00
332,21.0011.5005.50,210011500550(G),21.00,11.50,5.50,5.8368,$13.20,30.00
333,21.0011.5004.00,210011500400(G),21.00,11.50,4.00,5.1597,$9.66,30.00
334,21.0010.0004.50,210010000450(G),21.00,10.00,4.50,4.8542,$9.44,30.00
335,21.0016.0011.50,210016001150(I),21.00,16.00,11.50,10.5764,$37.95,30.00
336,21.0011.5010.00,210011501000(J),21.00,11.50,10.00,7.8681,$23.81,30.00
337,21.0011.5009.00,210011500900(J),21.00,11.50,9.00,7.4167,$21.45,30.00
338,21.0010.0006.00,210010000600(G),21.00,10.00,6.00,5.5000,$12.52,30.00
339,21.0008.0005.50,210008000550(G),21.00,8.00,5.50,4.5486,$9.22,30.00
340,21.0011.0004.50,210011000450(G),21.00,11.00,4.50,5.2083,$10.37,30.00
341,21.0016.5011.00,210016501100(I),21.00,16.50,11.00,10.5417,$37.44,30.00
342,21.0014.0011.50,210014001150(I),21.00,14.00,11.50,9.6736,$33.24,30.00
343,21.0014.5010.50,210014501050(I),21.00,14.50,10.50,9.4063,$31.45,30.00
344,21.0011.5004.50,210011500450(G),21.00,11.50,4.50,5.3854,$10.84,30.00
345,21.0010.5004.50,210010500450(G),21.00,10.50,4.50,5.0313,$9.91,30.00
346,21.0008.5004.00,210008500400(G),21.00,8.50,4.00,4.1181,$7.16,30.00
347,21.0010.0005.00,210010000500(G),21.00,10.00,5.00,5.0694,$10.47,30.00
348,21.0010.0006.50,210010000650(H),21.00,10.00,6.50,5.7153,$13.55,30.00
349,21.0010.0005.50,210010000550(G),21.00,10.00,5.50,5.2847,$11.49,30.00
350,21.0010.5009.50,210010500950(J),21.00,10.50,9.50,7.2188,$20.68,30.00
351,21.0012.5009.00,210012500900(J),21.00,12.50,9.00,7.8333,$23.30,30.00
352,21.0010.0007.00,210010000700(H),21.00,10.00,7.00,5.9306,$14.57,30.00
353,21.0011.5005.00,210011500500(G),21.00,11.50,5.00,5.6111,$12.02,30.00
354,21.0011.5006.50,210011500650(H),21.00,11.50,6.50,6.2882,$15.56,30.00
355,21.0010.5005.50,210010500550(G),21.00,10.50,5.50,5.4688,$12.06,30.00
356,21.0010.5004.00,210010500400(G),21.00,10.50,4.00,4.8125,$8.83,30.00
357,21.0013.0009.50,210013000950(J),21.00,13.00,9.50,8.2778,$25.55,30.00
358,21.0016.5004.50,210016500450(I),21.00,16.50,4.50,7.1563,$15.52,30.00
359,21.0016.0010.00,210016001000(I),21.00,16.00,10.00,9.8056,$33.04,30.00
360,21.0010.5008.00,210010500800(H),21.00,10.50,8.00,6.5625,$17.45,30.00
361,21.0010.0010.00,210010001000(J),21.00,10.00,10.00,7.2222,$20.73,30.00
362,21.0010.5006.00,210010500600(G),21.00,10.50,6.00,5.6875,$13.14,30.00
363,21.0014.5011.50,210014501150(I),21.00,14.50,11.50,9.8993,$34.41,30.00
364,21.0010.0008.50,210010000850(L),21.00,10.00,8.50,6.5764,$17.65,30.00
365,21.0012.0012.00,210012001200(Q),21.00,12.00,12.00,9.0000,$29.75,30.00
366,21.0016.5011.50,210016501150(I),21.00,16.50,11.50,10.8021,$39.13,30.00
367,21.0011.0009.00,210011000900(J),21.00,11.00,9.00,7.2083,$20.53,30.00
368,21.0015.5013.00,210015501300(S),21.00,15.50,13.00,11.1111,$41.53,30.00
369,21.0011.5006.00,210011500600(G),21.00,11.50,6.00,6.0625,$14.38,30.00
370,21.0012.5006.00,210012500600(L),21.00,12.50,6.00,6.4375,$15.62,30.00
371,21.0013.5010.50,210013501050(I),21.00,13.50,10.50,8.9688,$29.29,30.00
372,21.0011.5011.50,210011501150(J),21.00,11.50,11.50,8.5451,$27.34,30.00
373,21.0014.0012.00,210014001200(I),21.00,14.00,12.00,9.9167,$34.67,30.00
374,21.0011.5007.50,210011500750(H),21.00,11.50,7.50,6.7396,$17.91,30.00
375,21.0011.5007.00,210011500700(H),21.00,11.50,7.00,6.5139,$16.74,30.00
376,21.0012.0005.00,210012000500(G),21.00,12.00,5.00,5.7917,$12.54,30.00
377,21.0011.0006.00,210011000600(G),21.00,11.00,6.00,5.8750,$13.76,30.00
378,21.0010.5006.50,210010500650(H),21.00,10.50,6.50,5.9063,$14.22,30.00
379,22.0010.0004.00,220010000400(G),22.00,10.00,4.00,4.8333,$8.81,30.00
380,22.0010.0004.50,220010000450(G),22.00,10.00,4.50,5.0556,$9.89,30.00
381,22.0011.0006.00,220011000600(G),22.00,11.00,6.00,6.1111,$14.41,30.00
382,22.0011.5004.00,220011500400(G),22.00,11.50,4.00,5.3750,$10.12,30.00
383,22.0011.5006.50,220011500650(H),22.00,11.50,6.50,6.5382,$16.29,30.00
384,22.0011.5010.00,220011501000(J),22.00,11.50,10.00,8.1667,$24.94,30.00
385,22.0011.5011.50,220011501150(J),22.00,11.50,11.50,8.8646,$28.64,30.00
386,22.0012.0004.00,220012000400(G),22.00,12.00,4.00,5.5556,$10.56,30.00
387,22.0013.0007.50,220013000750(L),22.00,13.00,7.50,7.6181,$21.19,30.00
388,22.0013.0008.00,220013000800(L),22.00,13.00,8.00,7.8611,$22.58,30.00
389,22.0013.0009.00,220013000900(J),22.00,13.00,9.00,8.3472,$25.37,30.00
390,22.0013.0010.00,220013001000(J),22.00,13.00,10.00,8.8333,$28.16,30.00
391,22.0013.5006.00,220013500600(L),22.00,13.50,6.00,7.0833,$17.66,30.00
392,22.0013.5008.00,220013500800(L),22.00,13.50,8.00,8.0694,$23.45,30.00
393,22.0014.0011.50,220014001150(I),22.00,14.00,11.50,10.0278,$34.81,30.00
394,22.0014.5011.50,220014501150(I),22.00,14.50,11.50,10.2604,$36.05,30.00
395,22.0015.0011.50,220015001150(I),22.00,15.00,11.50,10.4931,$37.28,30.00
396,22.0015.0012.00,220015001200(I),22.00,15.00,12.00,10.7500,$38.89,30.00
397,22.0015.5011.50,220015501150(I),22.00,15.50,11.50,10.7257,$38.51,30.00
398,22.0016.0010.00,220016001000(I),22.00,16.00,10.00,10.1667,$34.61,30.00
399,22.0017.0010.50,220017001050(N),22.00,17.00,10.50,10.8819,$38.58,30.00
400,22.0017.0012.50,220017001250(P),22.00,17.00,12.50,11.9653,$45.86,30.00
401,22.0017.5009.00,220017500900(N),22.00,17.50,9.00,10.2847,$34.09,30.00
402,22.0017.5011.00,220017501100(N),22.00,17.50,11.00,11.3819,$41.58,30.00
403,22.0017.5011.50,220017501150(N),22.00,17.50,11.50,11.6563,$43.45,30.00
404,22.0017.5013.00,220017501300(S),22.00,17.50,13.00,12.4792,$49.07,30.00
405,22.0012.0005.00,220012000500(G),22.00,12.00,5.00,6.0278,$13.13,30.00
406,22.0014.5012.00,220014501200(I),22.00,14.50,12.00,10.5139,$37.60,30.00
407,22.0010.5005.00,220010500500(G),22.00,10.50,5.00,5.4653,$11.51,30.00
408,22.0012.0004.50,220012000450(G),22.00,12.00,4.50,5.7917,$11.85,30.00
409,22.0011.5005.00,220011500500(G),22.00,11.50,5.00,5.8403,$12.59,30.00
410,22.0012.0007.50,220012000750(H),22.00,12.00,7.50,7.2083,$19.57,30.00
411,22.0012.0010.00,220012001000(J),22.00,12.00,10.00,8.3889,$26.01,30.00
412,22.0008.0008.00,220008000800(H),22.00,8.00,8.00,5.7778,$13.96,30.00
413,22.0012.0008.00,220012000800(H),22.00,12.00,8.00,7.4444,$20.86,30.00
414,22.0011.5006.00,220011500600(G),22.00,11.50,6.00,6.3056,$15.06,30.00
415,22.0010.5006.00,220010500600(G),22.00,10.50,6.00,5.9167,$13.76,30.00
416,22.0013.5012.00,220013501200(I),22.00,13.50,12.00,10.0417,$35.02,30.00
417,22.0012.0006.00,220012000600(G),22.00,12.00,6.00,6.5000,$15.71,30.00
418,22.0011.5005.50,220011500550(G),22.00,11.50,5.50,6.0729,$13.83,30.00
419,22.0013.5011.00,220013501100(I),22.00,13.50,11.00,9.5486,$32.13,30.00
420,22.0016.0008.00,220016000800(I),22.00,16.00,8.00,9.1111,$27.76,30.00
421,22.0013.0005.00,220013000500(K),22.00,13.00,5.00,6.4028,$14.22,30.00
422,22.0013.0011.50,220013001150(J),22.00,13.00,11.50,9.5625,$32.34,30.00
423,22.0011.5009.00,220011500900(J),22.00,11.50,9.00,7.7014,$22.47,30.00
424,22.0012.0005.50,220012000550(G),22.00,12.00,5.50,6.2639,$14.42,30.00
425,22.0012.0009.00,220012000900(J),22.00,12.00,9.00,7.9167,$23.44,30.00
426,22.0010.0005.00,220010000500(G),22.00,10.00,5.00,5.2778,$10.96,30.00
427,22.0012.0007.00,220012000700(H),22.00,12.00,7.00,6.9722,$18.28,30.00
428,22.0012.0012.00,220012001200(Q),22.00,12.00,12.00,9.3333,$31.16,30.00
429,22.0010.5004.00,220010500400(G),22.00,10.50,4.00,5.0139,$9.25,30.00
430,22.0012.5006.50,220012500650(L),22.00,12.50,6.50,6.9340,$17.70,30.00
431,22.0011.5009.50,220011500950(J),22.00,11.50,9.50,7.9340,$23.70,30.00
432,22.0011.0004.00,220011000400(G),22.00,11.00,4.00,5.1944,$9.69,30.00
433,22.0011.5004.50,220011500450(G),22.00,11.50,4.50,5.6076,$11.36,30.00
434,22.0012.5006.00,220012500600(L),22.00,12.50,6.00,6.6944,$16.36,30.00
435,22.0011.0008.00,220011000800(H),22.00,11.00,8.00,7.0278,$19.14,30.00
436,22.0011.5007.00,220011500700(H),22.00,11.50,7.00,6.7708,$17.53,30.00
437,22.0014.5004.00,220014500400(K),22.00,14.50,4.00,6.4583,$12.74,30.00
438,22.0011.0004.50,220011000450(G),22.00,11.00,4.50,5.4236,$10.87,30.00
439,22.0011.0008.50,220011000850(L),22.00,11.00,8.50,7.2569,$20.32,30.00
440,22.0012.0006.50,220012000650(H),22.00,12.00,6.50,6.7361,$17.00,30.00
441,22.0011.0007.50,220011000750(H),22.00,11.00,7.50,6.7986,$17.95,30.00
442,22.0014.0012.00,220014001200(I),22.00,14.00,12.00,10.2778,$36.31,30.00
443,22.0017.5012.50,220017501250(P),22.00,17.50,12.50,12.2049,$47.20,30.00
444,23.0007.0004.00,230007000400(G),23.00,7.00,4.00,3.9028,$6.47,30.00
445,23.0008.0004.00,230008000400(G),23.00,8.00,4.00,4.2778,$7.39,30.00
446,23.0010.0004.00,230010000400(G),23.00,10.00,4.00,5.0278,$9.21,30.00
447,23.0010.0004.50,230010000450(G),23.00,10.00,4.50,5.2569,$10.34,30.00
448,23.0010.0005.00,230010000500(G),23.00,10.00,5.00,5.4861,$11.46,30.00
449,23.0010.0005.50,230010000550(G),23.00,10.00,5.50,5.7153,$12.58,30.00
450,23.0010.0006.00,230010000600(G),23.00,10.00,6.00,5.9444,$13.71,30.00
451,23.0010.0006.50,230010000650(H),23.00,10.00,6.50,6.1736,$14.83,30.00
452,23.0010.0007.00,230010000700(H),23.00,10.00,7.00,6.4028,$15.95,30.00
453,23.0010.5004.00,230010500400(G),23.00,10.50,4.00,5.2153,$9.67,30.00
454,23.0010.5004.50,230010500450(G),23.00,10.50,4.50,5.4479,$10.85,30.00
455,23.0010.5005.00,230010500500(G),23.00,10.50,5.00,5.6806,$12.03,30.00
456,23.0010.5006.50,230010500650(H),23.00,10.50,6.50,6.3785,$15.56,30.00
457,23.0010.5008.00,230010500800(H),23.00,10.50,8.00,7.0764,$19.10,30.00
458,23.0010.5009.00,230010500900(J),23.00,10.50,9.00,7.5417,$21.46,30.00
459,23.0011.0004.00,230011000400(G),23.00,11.00,4.00,5.4028,$10.12,30.00
460,23.0011.0005.00,230011000500(G),23.00,11.00,5.00,5.8750,$12.59,30.00
461,23.0011.0005.50,230011000550(G),23.00,11.00,5.50,6.1111,$13.83,30.00
462,23.0011.0007.00,230011000700(H),23.00,11.00,7.00,6.8194,$17.53,30.00
463,23.0011.0008.00,230011000800(H),23.00,11.00,8.00,7.2917,$20.00,30.00
464,23.0011.5004.00,230011500400(G),23.00,11.50,4.00,5.5903,$10.58,30.00
465,23.0011.5004.50,230011500450(G),23.00,11.50,4.50,5.8299,$11.87,30.00
466,23.0011.5005.00,230011500500(G),23.00,11.50,5.00,6.0694,$13.16,30.00
467,23.0011.5005.50,230011500550(G),23.00,11.50,5.50,6.3090,$14.45,30.00
468,23.0011.5006.00,230011500600(G),23.00,11.50,6.00,6.5486,$15.74,30.00
469,23.0012.0006.00,230012000600(G),23.00,12.00,6.00,6.7500,$16.42,30.00
470,23.0014.0005.00,230014000500(K),23.00,14.00,5.00,7.0417,$16.00,30.00
471,23.0014.0004.50,230014000450(K),23.00,14.00,4.50,6.7847,$14.43,30.00
472,23.0011.5008.50,230011500850(L),23.00,11.50,8.50,7.7465,$22.19,30.00
473,23.0013.0004.50,230013000450(K),23.00,13.00,4.50,6.4028,$13.41,30.00
474,23.0012.0004.50,230012000450(G),23.00,12.00,4.50,6.0208,$12.38,30.00
475,23.0011.5008.00,230011500800(H),23.00,11.50,8.00,7.5069,$20.90,30.00
476,23.0013.5011.00,230013501100(I),23.00,13.50,11.00,9.8889,$33.58,30.00
477,23.0012.0004.00,230012000400(G),23.00,12.00,4.00,5.7778,$11.04,30.00
478,23.0012.5009.50,230012500950(J),23.00,12.50,9.50,8.6771,$26.91,30.00
479,23.0013.5012.00,230013501200(I),23.00,13.50,12.00,10.3958,$36.61,30.00
480,23.0014.5004.00,230014500400(K),23.00,14.50,4.00,6.7153,$13.32,30.00
481,23.0012.0005.50,230012000550(G),23.00,12.00,5.50,6.5069,$15.07,30.00
482,23.0015.5010.00,230015501000(I),23.00,15.50,10.00,10.2986,$35.05,30.00
483,23.0012.0005.00,230012000500(G),23.00,12.00,5.00,6.2639,$13.73,30.00
484,23.0014.5004.50,230014500450(K),23.00,14.50,4.50,6.9757,$14.94,30.00
485,23.0015.0009.00,230015000900(R),23.00,15.00,9.00,9.5417,$30.57,30.00
486,23.0012.5005.50,230012500550(K),23.00,12.50,5.50,6.7049,$15.70,30.00
487,23.0012.0007.00,230012000700(H),23.00,12.00,7.00,7.2361,$19.11,30.00
488,23.0012.0010.50,230012001050(J),23.00,12.00,10.50,8.9375,$28.53,30.00
489,23.0016.0011.00,230016001100(I),23.00,16.00,11.00,11.0694,$39.76,30.00
490,23.0012.5009.00,230012500900(J),23.00,12.50,9.00,8.4306,$25.51,30.00
491,23.0011.5009.00,230011500900(J),23.00,11.50,9.00,7.9861,$23.48,30.00
492,23.0012.5004.00,230012500400(K),23.00,12.50,4.00,5.9653,$11.49,30.00
493,23.0012.5005.00,230012500500(K),23.00,12.50,5.00,6.4583,$14.30,30.00
494,23.0016.5012.00,230016501200(I),23.00,16.50,12.00,11.8542,$44.68,30.00
495,23.0012.0007.50,230012000750(H),23.00,12.00,7.50,7.4792,$20.46,30.00
496,23.0007.5006.50,230007500650(H),23.00,7.50,6.50,5.1493,$11.16,30.00
497,23.0013.0009.50,230013000950(J),23.00,13.00,9.50,8.9028,$27.98,30.00
498,23.0017.0013.00,230017001300(S),23.00,17.00,13.00,12.6528,$49.83,30.00
499,23.0013.0005.50,230013000550(K),23.00,13.00,5.50,6.9028,$16.32,30.00
500,23.0018.0011.00,230018001100(N),23.00,18.00,11.00,12.0139,$44.70,30.00
501,23.0011.5007.00,230011500700(H),23.00,11.50,7.00,7.0278,$18.32,30.00
502,23.0016.5011.00,230016501100(I),23.00,16.50,11.00,11.3056,$40.99,30.00
503,23.0016.0014.00,230016001400(T),23.00,16.00,14.00,12.6944,$50.50,30.00
504,23.0012.0008.50,230012000850(L),23.00,12.00,8.50,7.9653,$23.15,30.00
505,23.0012.0006.50,230012000650(H),23.00,12.00,6.50,6.9931,$17.77,30.00
506,23.0014.0005.50,230014000550(K),23.00,14.00,5.50,7.2986,$17.57,30.00
507,23.0011.5006.50,230011500650(H),23.00,11.50,6.50,6.7882,$17.03,30.00
508,23.0014.0004.00,230014000400(K),23.00,14.00,4.00,6.5278,$12.86,30.00
509,23.0014.0006.50,230014000650(L),23.00,14.00,6.50,7.8125,$20.70,30.00
510,23.0013.5009.50,230013500950(R),23.00,13.50,9.50,9.1285,$29.05,30.00
511,23.0012.0010.00,230012001000(J),23.00,12.00,10.00,8.6944,$27.19,30.00
512,23.0014.0012.00,230014001200(I),23.00,14.00,12.00,10.6389,$37.96,30.00
513,23.0012.0008.00,230012000800(H),23.00,12.00,8.00,7.7222,$21.80,30.00
514,23.0017.5010.50,230017501050(N),23.00,17.50,10.50,11.4965,$41.50,30.00
515,23.0009.5004.00,230009500400(G),23.00,9.50,4.00,4.8403,$8.76,30.00
516,23.0014.5007.00,230014500700(R),23.00,14.50,7.00,8.2778,$23.06,30.00
517,23.0011.5010.00,230011501000(J),23.00,11.50,10.00,8.4653,$26.06,30.00
518,23.0009.0009.00,230009000900(J),23.00,9.00,9.00,6.8750,$18.42,30.00
519,24.0013.5004.50,240013500450(K),24.00,13.50,4.50,6.8438,$14.52,30.00
520,24.0013.5005.00,240013500500(K),24.00,13.50,5.00,7.1042,$16.10,30.00
521,24.0013.5006.00,240013500600(L),24.00,13.50,6.00,7.6250,$19.25,30.00
522,24.0014.0010.50,240014001050(M),24.00,14.00,10.50,10.2083,$34.69,30.00
523,24.0015.0008.00,240015000800(R),24.00,15.00,8.00,9.3333,$28.39,30.00
524,24.0015.0009.00,240015000900(R),24.00,15.00,9.00,9.8750,$31.89,30.00
525,24.0016.0011.50,240016001150(N),24.00,16.00,11.50,11.7222,$43.35,30.00
526,24.0011.0005.50,240011000550(K),24.00,11.00,5.50,6.3403,$14.43,30.00
527,24.0012.5008.00,240012500800(L),24.00,12.50,8.00,8.2222,$23.69,30.00
528,24.0019.0010.50,240019001050(N),24.00,19.00,10.50,12.6042,$46.99,30.00
529,24.0011.5005.50,240011500550(K),24.00,11.50,5.50,6.5451,$15.08,30.00
530,24.0009.0004.50,240009000450(K),24.00,9.00,4.50,5.0625,$9.71,30.00
531,24.0013.0005.00,240013000500(K),24.00,13.00,5.00,6.9028,$15.51,30.00
532,24.0014.5008.00,240014500800(R),24.00,14.50,8.00,9.1111,$27.45,30.00
533,24.0008.5004.00,240008500400(K),24.00,8.50,4.00,4.6389,$8.18,30.00
534,24.0011.5004.50,240011500450(K),24.00,11.50,4.50,6.0521,$12.38,30.00
535,24.0011.0006.00,240011000600(L),24.00,11.00,6.00,6.5833,$15.71,30.00
536,24.0012.5008.50,240012500850(L),24.00,12.50,8.50,8.4757,$25.15,30.00
537,24.0011.5008.00,240011500800(L),24.00,11.50,8.00,7.7778,$21.81,30.00
538,24.0012.0004.00,240012000400(K),24.00,12.00,4.00,6.0000,$11.51,30.00
539,24.0012.0005.50,240012000550(K),24.00,12.00,5.50,6.7500,$15.73,30.00
540,24.0013.0006.00,240013000600(L),24.00,13.00,6.00,7.4167,$18.55,30.00
541,24.0012.0004.50,240012000450(K),24.00,12.00,4.50,6.2500,$12.92,30.00
542,24.0010.0007.00,240010000700(L),24.00,10.00,7.00,6.6389,$16.64,30.00
543,24.0011.5005.00,240011500500(K),24.00,11.50,5.00,6.2986,$13.73,30.00
544,24.0015.0004.00,240015000400(K),24.00,15.00,4.00,7.1667,$14.37,30.00
545,24.0008.5008.50,240008500850(L),24.00,8.50,8.50,6.6701,$17.17,30.00
546,24.0012.5004.50,240012500450(K),24.00,12.50,4.50,6.4479,$13.45,30.00
547,24.0011.5008.50,240011500850(L),24.00,11.50,8.50,8.0243,$23.15,30.00
548,24.0012.5006.00,240012500600(L),24.00,12.50,6.00,7.2083,$17.84,30.00
549,24.0013.5008.00,240013500800(L),24.00,13.50,8.00,8.6667,$25.57,30.00
550,24.0011.5006.00,240011500600(L),24.00,11.50,6.00,6.7917,$16.42,30.00
551,24.0014.0008.00,240014000800(L),24.00,14.00,8.00,8.8889,$26.51,30.00
552,24.0014.0004.50,240014000450(K),24.00,14.00,4.50,7.0417,$15.05,30.00
553,24.0019.0010.00,240019001000(N),24.00,19.00,10.00,12.3056,$44.77,30.00
554,24.0010.0004.00,240010000400(K),24.00,10.00,4.00,5.2222,$9.61,30.00
555,24.0013.5009.50,240013500950(R),24.00,13.50,9.50,9.4479,$30.30,30.00
556,24.0014.0011.50,240014001150(N),24.00,14.00,11.50,10.7361,$37.96,30.00
557,24.0012.0006.00,240012000600(L),24.00,12.00,6.00,7.0000,$17.13,30.00
558,24.0012.5012.50,240012501250(P),24.00,12.50,12.50,10.5035,$36.85,30.00
559,24.0015.0012.50,240015001250(P),24.00,15.00,12.50,11.7708,$44.16,30.00
560,24.0013.0004.00,240013000400(K),24.00,13.00,4.00,6.3889,$12.47,30.00
561,24.0013.0011.50,240013001150(J),24.00,13.00,11.50,10.2431,$35.27,30.00
562,24.0010.0010.00,240010001000(J),24.00,10.00,10.00,8.0556,$23.68,30.00
563,24.0014.0009.00,240014000900(R),24.00,14.00,9.00,9.4167,$29.78,30.00
564,24.0015.5013.00,240015501300(S),24.00,15.50,13.00,12.2986,$47.43,30.00
565,24.0018.5011.00,240018501100(N),24.00,18.50,11.00,12.6597,$47.92,30.00
566,24.0011.5004.00,240011500400(K),24.00,11.50,4.00,5.8056,$11.04,30.00
567,24.0012.5005.50,240012500550(K),24.00,12.50,5.50,6.9549,$16.38,30.00
568,24.0008.5007.50,240008500750(L),24.00,8.50,7.50,6.2188,$15.17,30.00
569,24.0011.5007.00,240011500700(L),24.00,11.50,7.00,7.2847,$19.12,30.00
570,24.0015.5004.00,240015500400(M),24.00,15.50,4.00,7.3611,$14.84,30.00
571,24.0012.5006.50,240012500650(L),24.00,12.50,6.50,7.4618,$19.30,30.00
572,24.0011.0004.50,240011000450(K),24.00,11.00,4.50,5.8542,$11.85,30.00
573,24.0012.5010.50,240012501050(J),24.00,12.50,10.50,9.4896,$31.00,30.00
574,24.0008.5006.50,240008500650(L),24.00,8.50,6.50,5.7674,$13.17,30.00
575,24.0010.5004.00,240010500400(K),24.00,10.50,4.00,5.4167,$10.09,30.00
576,24.0018.0006.00,240018000600(N),24.00,18.00,6.00,9.5000,$25.63,30.00
577,24.0014.5007.00,240014500700(R),24.00,14.50,7.00,8.5764,$24.06,30.00
578,24.0015.0005.50,240015000550(K),24.00,15.00,5.50,7.9792,$19.63,30.00
579,24.0014.5004.50,240014500450(K),24.00,14.50,4.50,7.2396,$15.59,30.00
580,24.0015.5011.50,240015501150(N),24.00,15.50,11.50,11.4757,$42.00,30.00
581,24.0010.5005.00,240010500500(K),24.00,10.50,5.00,5.8958,$12.55,30.00
582,24.0014.0005.00,240014000500(K),24.00,14.00,5.00,7.3056,$16.69,30.00
583,24.0012.5010.00,240012501000(J),24.00,12.50,10.00,9.2361,$29.54,30.00
584,24.0017.5006.00,240017500600(N),24.00,17.50,6.00,9.2917,$24.92,30.00
585,24.0012.0007.00,240012000700(L),24.00,12.00,7.00,7.5000,$19.94,30.00
586,24.0014.5012.00,240014501200(N),24.00,14.50,12.00,11.2500,$41.00,30.00
587,24.0016.5013.00,240016501300(S),24.00,16.50,13.00,12.8125,$50.47,30.00
588,24.0014.5005.00,240014500500(K),24.00,14.50,5.00,7.5069,$17.28,30.00
589,24.0018.0012.00,240018001200(N),24.00,18.00,12.00,13.0000,$50.83,30.00
590,24.0015.0013.50,240015001350(S),24.00,15.00,13.50,12.3125,$47.66,30.00
591,25.0008.5008.50,250008500850(L),25.00,8.50,8.50,6.9063,$17.88,30.00
592,25.0011.0005.50,250011000550(O),25.00,11.00,5.50,6.5694,$15.03,30.00
593,25.0012.0004.00,250012000400(O),25.00,12.00,4.00,6.2222,$11.99,30.00
594,25.0012.0004.50,250012000450(O),25.00,12.00,4.50,6.4792,$13.45,30.00
595,25.0012.0006.00,250012000600(L),25.00,12.00,6.00,7.2500,$17.84,30.00
596,25.0012.0007.50,250012000750(L),25.00,12.00,7.50,8.0208,$22.23,30.00
597,25.0012.5005.00,250012500500(O),25.00,12.50,5.00,6.9444,$15.53,30.00
598,25.0012.5005.50,250012500550(O),25.00,12.50,5.50,7.2049,$17.06,30.00
599,25.0013.0004.50,250013000450(O),25.00,13.00,4.50,6.8889,$14.57,30.00
600,25.0013.0005.50,250013000550(O),25.00,13.00,5.50,7.4167,$17.73,30.00
601,25.0013.5009.50,250013500950(R),25.00,13.50,9.50,9.7674,$31.56,30.00
602,25.0013.5012.00,250013501200(N),25.00,13.50,12.00,11.1042,$39.78,30.00
603,25.0014.0009.50,250014000950(R),25.00,14.00,9.50,10.0069,$32.72,30.00
604,25.0016.0010.50,250016001050(M),25.00,16.00,10.50,11.5347,$41.25,30.00
605,25.0016.5011.00,250016501100(N),25.00,16.50,11.00,12.0694,$44.54,30.00
606,25.0019.0010.00,250019001000(N),25.00,19.00,10.00,12.7083,$46.63,30.00
607,25.0019.0010.50,250019001050(N),25.00,19.00,10.50,13.0139,$48.94,30.00
608,25.0019.5004.00,250019500400(N),25.00,19.50,4.00,9.2431,$19.43,30.00
609,25.0019.5010.00,250019501000(N),25.00,19.50,10.00,12.9514,$47.85,30.00
610,25.0019.5011.00,250019501100(N),25.00,19.50,11.00,13.5694,$52.59,30.00
611,25.0019.5011.50,250019501150(N),25.00,19.50,11.50,13.8785,$54.96,30.00
612,25.0020.0008.00,250020000800(N),25.00,20.00,8.00,11.9444,$39.36,30.00
613,25.0020.0011.00,250020001100(N),25.00,20.00,11.00,13.8194,$53.93,30.00
614,25.0020.0013.50,250020001350(T),25.00,20.00,13.50,15.3819,$66.08,30.00
615,25.0010.5009.50,250010500950(Q),25.00,10.50,9.50,8.3299,$24.60,30.00
616,25.0011.5005.00,250011500500(O),25.00,11.50,5.00,6.5278,$14.30,30.00
617,25.0011.0008.00,250011000800(L),25.00,11.00,8.00,7.8194,$21.73,30.00
618,25.0012.0005.00,250012000500(O),25.00,12.00,5.00,6.7361,$14.92,30.00
619,25.0014.5004.00,250014500400(O),25.00,14.50,4.00,7.2292,$14.47,30.00
620,25.0014.5005.00,250014500500(O),25.00,14.50,5.00,7.7778,$18.00,30.00
