Packsize Number,"ID",Name,length,width,height,Volume,Cost,Max Weight
71,15.0011.5008.00,150011500800(B),15.00,11.50,8.00,5.3403,$13.66,30.00
72,15.0011.5008.50,150011500850(B),15.00,11.50,8.50,5.5243,$14.51,30.00
73,15.0011.5009.00,150011500900(B),15.00,11.50,9.00,5.7083,$15.35,30.00
74,15.0011.5009.50,150011500950(B),15.00,11.50,9.50,5.8924,$16.19,30.00
75,15.0011.5010.00,150011501000(B),15.00,11.50,10.00,6.0764,$17.04,30.00
76,15.0011.5011.50,150011501150(J),15.00,11.50,11.50,6.6285,$19.57,30.00
77,15.0010.5010.50,150010501050(D),15.00,10.50,10.50,5.9063,$16.34,30.00
78,15.0011.0008.00,150011000800(B),15.00,11.00,8.00,5.1806,$13.07,30.00
79,15.0011.5004.00,150011500400(G),15.00,11.50,4.00,3.8681,$6.92,30.00
80,15.0011.5005.00,150011500500(G),15.00,11.50,5.00,4.2361,$8.60,30.00
81,15.0010.0008.00,150010000800(B),15.00,10.00,8.00,4.8611,$11.90,30.00
82,15.0012.0005.00,150012000500(G),15.00,12.00,5.00,4.3750,$8.97,30.00
83,15.0011.5004.50,150011500450(G),15.00,11.50,4.50,4.0521,$7.76,30.00
84,15.0012.0004.50,150012000450(G),15.00,12.00,4.50,4.1875,$8.09,30.00
85,15.0012.0012.00,150012001200(F),15.00,12.00,12.00,7.0000,$21.29,30.00
86,15.0007.5006.50,150007500650(C),15.00,7.50,6.50,3.5938,$7.29,30.00
87,15.0010.0004.50,150010000450(C),15.00,10.00,4.50,3.6458,$6.76,30.00
88,15.0012.0010.50,150012001050(D),15.00,12.00,10.50,6.4375,$18.65,30.00
89,15.0012.0006.00,150012000600(G),15.00,12.00,6.00,4.7500,$10.73,30.00
90,15.0011.0006.00,150011000600(G),15.00,11.00,6.00,4.4583,$9.85,30.00
91,15.0012.0006.50,150012000650(H),15.00,12.00,6.50,4.9375,$11.61,30.00
92,15.0012.0004.00,150012000400(G),15.00,12.00,4.00,4.0000,$7.21,30.00
93,15.0012.0007.50,150012000750(H),15.00,12.00,7.50,5.3125,$13.37,30.00
94,15.0012.0007.00,150012000700(H),15.00,12.00,7.00,5.1250,$12.49,30.00
95,15.0012.0009.50,150012000950(D),15.00,12.00,9.50,6.0625,$16.89,30.00
96,15.0012.0010.00,150012001000(D),15.00,12.00,10.00,6.2500,$17.77,30.00
97,15.0012.0005.50,150012000550(G),15.00,12.00,5.50,4.5625,$9.85,30.00
98,15.0008.0004.50,150008000450(C),15.00,8.00,4.50,3.1042,$5.42,30.00
99,15.0012.0009.00,150012000900(D),15.00,12.00,9.00,5.8750,$16.01,30.00
100,16.0012.5004.50,160012500450(K),16.00,12.50,4.50,4.5590,$8.99,30.00
101,16.0010.0004.50,160010000450(C),16.00,10.00,4.50,3.8472,$7.20,30.00
102,16.0011.5006.50,160011500650(B),16.00,11.50,6.50,5.0382,$11.87,30.00
103,16.0011.0009.00,160011000900(B),16.00,11.00,9.00,5.8194,$15.66,30.00
104,16.0012.5010.00,160012501000(D),16.00,12.50,10.00,6.7361,$19.73,30.00
105,16.0011.5004.50,160011500450(G),16.00,11.50,4.50,4.2743,$8.27,30.00
106,16.0012.5005.50,160012500550(K),16.00,12.50,5.50,4.9549,$10.94,30.00
107,16.0011.0006.00,160011000600(G),16.00,11.00,6.00,4.6944,$10.50,30.00
108,16.0011.5007.00,160011500700(B),16.00,11.50,7.00,5.2292,$12.77,30.00
109,16.0012.5009.50,160012500950(D),16.00,12.50,9.50,6.5382,$18.75,30.00
110,16.0012.0008.00,160012000800(H),16.00,12.00,8.00,5.7778,$15.20,30.00
111,16.0012.5006.50,160012500650(D),16.00,12.50,6.50,5.3507,$12.89,30.00
112,16.0012.5006.00,160012500600(D),16.00,12.50,6.00,5.1528,$11.92,30.00
113,16.0012.5010.50,160012501050(D),16.00,12.50,10.50,6.9340,$20.71,30.00
114,16.0012.5009.00,160012500900(D),16.00,12.50,9.00,6.3403,$17.78,30.00
115,16.0012.5012.50,160012501250(F),16.00,12.50,12.50,7.7257,$24.62,30.00
116,16.0012.0008.50,160012000850(D),16.00,12.00,8.50,5.9722,$16.13,30.00
117,16.0012.5007.00,160012500700(D),16.00,12.50,7.00,5.5486,$13.87,30.00
118,16.0010.5008.00,160010500800(B),16.00,10.50,8.00,5.2778,$13.31,30.00
119,16.0012.0005.00,160012000500(G),16.00,12.00,5.00,4.6111,$9.57,30.00
120,16.0012.5004.00,160012500400(K),16.00,12.50,4.00,4.3611,$8.01,30.00
121,16.0008.0005.00,160008000500(C),16.00,8.00,5.00,3.4444,$6.40,30.00
122,16.0011.0011.00,160011001100(D),16.00,11.00,11.00,6.5694,$19.10,30.00
123,16.0009.5009.50,160009500950(B),16.00,9.50,9.50,5.4757,$14.29,30.00
124,16.0011.5005.00,160011500500(G),16.00,11.50,5.00,4.4653,$9.17,30.00
125,16.0012.5007.50,160012500750(D),16.00,12.50,7.50,5.7465,$14.85,30.00
126,16.0011.5009.50,160011500950(B),16.00,11.50,9.50,6.1840,$17.27,30.00
127,16.0011.5004.00,160011500400(G),16.00,11.50,4.00,4.0833,$7.37,30.00
128,16.0011.5005.50,160011500550(G),16.00,11.50,5.50,4.6563,$10.07,30.00
129,16.0011.5007.50,160011500750(B),16.00,11.50,7.50,5.4201,$13.67,30.00
130,16.0012.5005.00,160012500500(K),16.00,12.50,5.00,4.7569,$9.96,30.00
131,16.0012.5008.50,160012500850(D),16.00,12.50,8.50,6.1424,$16.80,30.00
132,17.0010.0004.00,170010000400(C),17.00,10.00,4.00,3.8611,$6.82,30.00
133,17.0010.0004.50,170010000450(C),17.00,10.00,4.50,4.0486,$7.65,30.00
134,17.0011.5010.00,170011501000(B),17.00,11.50,10.00,6.6736,$19.29,30.00
135,17.0012.5004.00,170012500400(K),17.00,12.50,4.00,4.5903,$8.51,30.00
136,17.0012.5004.50,170012500450(K),17.00,12.50,4.50,4.7951,$9.54,30.00
137,17.0012.5010.00,170012501000(D),17.00,12.50,10.00,7.0486,$20.96,30.00
138,17.0013.5006.50,170013500650(L),17.00,13.50,6.50,5.9410,$14.78,30.00
139,17.0013.5008.50,170013500850(L),17.00,13.50,8.50,6.7882,$19.26,30.00
140,17.0013.5013.50,170013501350(F),17.00,13.50,13.50,8.9063,$30.46,30.00
141,17.0012.5005.00,170012500500(K),17.00,12.50,5.00,5.0000,$10.58,30.00
142,17.0012.5008.50,170012500850(D),17.00,12.50,8.50,6.4340,$17.84,30.00
143,17.0013.5006.00,170013500600(L),17.00,13.50,6.00,5.7292,$13.66,30.00
144,17.0012.5012.50,170012501250(F),17.00,12.50,12.50,8.0729,$26.14,30.00
145,17.0013.0004.50,170013000450(K),17.00,13.00,4.50,4.9444,$9.92,30.00
146,17.0013.5008.00,170013500800(L),17.00,13.50,8.00,6.5764,$18.14,30.00
147,17.0010.5009.00,170010500900(B),17.00,10.50,9.00,5.9167,$15.88,30.00
148,17.0012.5007.00,170012500700(D),17.00,12.50,7.00,5.8194,$14.73,30.00
149,17.0013.0011.00,170013001100(J),17.00,13.00,11.00,7.6528,$23.95,30.00
